Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
196,0,2,0,2,0,4,0
197,0,2,0,2,0,4,0
198,0,2,0,2,0,4,0
199,0,2,0,2,0,4,0
200,0,2,0,2,0,4,0
201,0,2,0,2,0,4,0
202,0,2,0,2,0,4,0
203,0,2,0,2,0,4,0
204,0,2,0,2,0,4,0
205,0,2,0,2,0,4,0
206,0,0,0,3,0,0,2
207,0,2,0,2,0,4,0
208,0,2,0,2,0,4,0
209,0,2,0,2,0,4,0
210,0,2,0,2,0,4,0
211,0,2,0,2,0,4,0
212,1,2,0,2,0,4,0
213,0,2,0,2,0,4,0
214,1,2,0,2,0,4,0
215,1,2,0,2,0,4,3
216,0,2,0,2,0,4,0
217,0,2,0,2,0,4,0
218,0,2,0,2,0,4,0
219,0,2,0,2,0,4,0
220,0,0,0,3,0,0,2
221,0,2,0,2,0,4,0
222,0,2,0,2,0,4,0
223,0,2,0,2,0,4,0
224,0,2,0,2,0,4,0
225,0,2,0,2,0,4,0
226,0,0,0,3,0,0,2
227,0,2,0,2,0,4,0
228,0,2,0,2,0,4,0
229,0,0,0,3,0,0,2
230,0,2,0,2,0,4,0
231,0,2,0,2,0,4,0
232,0,2,0,2,0,4,0
233,0,2,0,2,0,4,0
234,0,2,0,2,0,4,0
235,0,2,0,2,0,4,0
236,0,2,0,2,0,4,0
237,0,2,0,2,0,4,0
238,0,2,0,2,0,4,0
239,0,2,0,2,0,4,0
240,0,2,0,2,0,4,0
241,1,2,0,2,0,4,0
242,0,2,0,2,0,4,0
243,0,2,0,2,0,4,0
244,0,2,0,2,0,4,0
245,0,2,0,2,0,4,0
246,0,2,0,2,0,4,0
247,1,0,0,2,1,0,0
248,1,0,2,2,1,0,0
249,0,0,0,2,0,0,0
250,0,0,0,2,0,0,0
251,0,0,0,2,0,0,0
252,0,0,0,2,0,0,0
253,0,0,0,2,0,0,0
254,0,2,0,2,0,0,0
255,0,0,0,2,0,0,0
256,0,0,0,2,0,0,0
257,0,0,0,2,1,0,0
